ppl,thumbnail,deepfake_score
Donald Trump,https://i.ytimg.com/vi/H5umZCiC524/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGGUgTShCMA8=&rs=AOn4CLBN4w9xURgVRDHE_I4Q0NDnLWrDBg,
Donald Trump,https://i.ytimg.com/vi/-XixlQh5L0Q/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AHOBYACgAqKAgwIABABGD0gTSh_MA8=&rs=AOn4CLAdoIDEeD1TrS-Bven_9m6OREGI_Q,
Donald Trump,https://i.ytimg.com/vi/fISwU1QeICI/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGC0gQCh_MA8=&rs=AOn4CLDd-nfhPJ8Mmuk4iX3BmH07gKxjtQ,
Donald Trump,https://i.ytimg.com/vi/QdDYpG-fols/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAw4AY2ClseOmC1hlZ2jnQnCExAWA,
Donald Trump,https://i.ytimg.com/vi/S9LyYW17HHE/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBoh7QOGZt6n5XO0ouj1tWoNK4tug,
Donald Trump,https://i.ytimg.com/vi/ofrnDH1H9-Y/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC6SA3hEMZ6Au3A8B0G27wiYBGMug,
Kamala Harris,https://i.ytimg.com/vi/rxCnf1tb5Xs/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLB-da47iORzmzJLNbtm7UJb9SY2rA,5.32012336407206e-06
Kamala Harris,https://i.ytimg.com/vi/rxCnf1tb5Xs/hq720.jpg?sqp=-oaymwEnCOgCEMoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBC6_dlyOhKxpFpm4aF_P9zrMj-xA,
Kamala Harris,https://i.ytimg.com/vi/sMaC1NdS0qc/hq720.jpg?sqp=-oaymwEnCOgCEMoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAuadYFwEdadaTrIQPuAoiJEoKbHg,
Kamala Harris,https://i.ytimg.com/vi/5WeSIts0QrI/hqdefault.jpg?sqp=-oaymwFBCOADEI4CSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AH-BIAC6AKKAgwIABABGHIgTig2MA8=&rs=AOn4CLCD5r1-B_GsCtAM5fI5bKSP_f8LZQ,
Kamala Harris,https://i.ytimg.com/vi/X8vcW1CqmN8/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDJlucj25OMeaqSlqmKY8SCJWPBQw,
